blood_group,user_id,company,registration,address,ssn,username,name,mail,station_ID,longitude,latitude
B-,666,Tintzmann,2022-12-13,"Dörrstr. 27, 57109 Neuss",052-19-8061,christl54,Magarete Schottin,qnoack@gmail.com,415,38.106718,-142.459472
AB+,972,Conti e figli,2019-10-10,"Canale Liliana, 7 Piano 6, 14033, Castell'Alfero (AT)",NLCLSU32M08D165R,fgiannetti,Carla Trentin,ltoldo@live.com,458,63.519786,-38.924744
AB-,1461,Cheda s.r.l.,2024-10-04,"Incrocio Scotti, 0, 04020, Campomaggiore San Luca (LT)",CCCNNL88B44L558O,zamengobruno,Livia Moneta,barcacciabenito@vodafone.it,112,57.808419,179.425828
O-,1045,Interminei-Lombroso Group,2020-03-21,"Stretto Giuliano, 6 Piano 1, 98100, Messina (ME)",MDRFMM78B13G247Z,ncadorna,Luigina Iannelli-Surian,traviacirillo@tim.it,116,46.2489655,24.918571
A-,268,Ribeiro,2023-05-04,,93784251005,natalia66,Enrico Correia,cardosoemanuelly@hotmail.com,71,-69.966505,137.659915
A-,1368,岡本農林株式会社,2025-05-17,静岡県中央区天神島39丁目2番13号 コーポ北青山154,760-79-8970,naoko61,佐藤 花子,suzukinanami@yahoo.com,681,24.70281,-165.364957
B+,884,da Rosa e Filhos,2023-05-09,,62138945782,marcos-viniciusabreu,Davi Lucas Duarte,brendacarvalho@yahoo.com.br,559,30.071309,1.042101
B-,1335,Borges Moreira - ME,2020-01-05,"Jardim Théo Casa Grande, 42, Graça, 82992128 Garcia do Amparo / GO",28579436010,yleao,Sr. Bento Pastor,vitor-hugoaraujo@yahoo.com.br,386,45.671123,113.460101
A-,1818,"Alonzi, Rocca e Trombetta s.r.l.",2019-09-30,"Vicolo Juvara, 44, 88815, Marina Di Strongoli (KR)",CRNFLR83S15H873A,ferragnicarolina,Milena Navone,paloma77@gmail.com,626,,
B-,891,Campos,2019-12-23,"Loteamento Maria Flor Aparecida, 85, Vila Nova Cachoeirinha 2ª Seção, 09918-301 Sales / GO",29378615040,benicio88,Yasmin da Mota,ana-sophiacarvalho@hotmail.com,615,4.3478675,-116.10563
B-,1506,Turati e figli,2022-05-19,"Viale Antonello, 9, 33033, Goricizza E Pozzo (UD)",PSTPTZ39M22L282D,gastonemurri,Coluccio Strangio-Coardi,greco87@live.com,96,-18.902737,110.41084
A+,771,Costa,2025-06-16,"Núcleo Costela, Cidade Jardim Taquaril, 80390849 Vargas / SP",80947326103,aoliveira,Maria Liz Cassiano,zcaldeira@hotmail.com,487,-30.944598,166.72498
B-,1555,Dias,2020-10-21,"Alameda de Abreu, 17, Buraco Quente, 92557-273 Fogaça das Pedras / CE",25104938689,nogueiraluana,Pedro Miguel Campos,gomesbrayan@uol.com.br,90,-58.7136905,151.512308
B-,473,Lindner,2019-12-14,"Hanne-Lore-Junk-Platz 5/2, 08137 Schweinfurt",799-22-4133,amandaberger,Ing. Sigurd Junitz B.Sc.,slobodanzimmer@gmx.de,214,52.6374495,45.57925
A+,1627,Anderson Inc,2022-06-02,"905 Amanda Curve, Hintonshire, CA 68735",539-46-2227,lmichael,Travis Swanson,jamesjohnson@gmail.com,178,-46.665303,-48.875013
O-,130,株式会社佐藤農林,2022-10-31,,323-22-3165,omaeda,中島 明美,junmatsumoto@gmail.com,528,-3.737221,2.629079
B+,1349,株式会社渡辺水産,2018-09-30,大阪府御蔵島村九段南42丁目3番14号 柿木沢パレス758,609-59-4143,sogawa,山田 美加子,taichi40@yahoo.com,423,-42.6968125,73.559553
B-,884,Crespi-Piane Group,2020-08-23,,CSCMRN06E10I819Y,gredi,Baccio Mannoia-Toselli,vittoriocagnotto@alice.it,329,,
A-,1662,Johnson Ltd,2024-08-15,,845-23-8484,kennethfaulkner,Mr. Steven Green PhD,marie65@hotmail.com,449,8.2675935,-59.588433
O+,156,Stephenson-Morris,2025-09-08,"USCGC Montes, FPO AE 67548",208-66-4811,spetersen,Timothy Hughes,bridgesalbert@hotmail.com,298,-88.7734015,-143.159904
B-,460,da Cunha e Filhos,2022-09-20,"Esplanada Gomes, 1, Vila Santo Antônio, 94443911 Moraes de Rodrigues / AL",54089236142,allana73,Catarina Porto,gabrieldas-neves@ig.com.br,743,-21.764438,-111.448329
AB+,837,有限会社木村銀行,2022-06-28,和歌山県東村山市大中1丁目26番16号 松浦町コート627,653-12-4406,yui34,鈴木 桃子,naoko18@yahoo.com,219,85.669815,-81.226399
AB-,965,合同会社伊藤食品,2022-06-11,福島県八丈島八丈町上吉羽27丁目23番19号 シャルム東上野109,390-94-3343,yuiaoki,松田 香織,pnakajima@hotmail.com,194,46.2874185,-91.5305
O-,838,Wagner Mende AG & Co. KG,2024-05-25,,655-27-0421,trapphans-henning,Ann-Kathrin Henschel-Girschner,zenon19@gmx.de,556,-12.2656925,175.052401
A+,770,Beffa-Bulzoni Group,2020-08-19,"Borgo Morrocco, 7, 39017, Videgg (BZ)",FRRCSR53T71B395G,fvidoni,Dott. Sandro Trevisan,neddasismondi@virgilio.it,188,-67.6946935,55.832273
O+,2077,Leão - ME,2020-07-10,"Sítio Sousa, Vitoria Da Conquista, 66809131 Barros do Oeste / AC",25803417653,maite85,Ana Sophia da Mata,carvalhogabriela@ig.com.br,529,9.137566,-94.188231
A-,387,Matthews-Cook,2025-01-10,"6643 Corey Isle, West Brittany, PR 78405",810-43-6172,nmolina,Nicholas Ford,waterszachary@hotmail.com,464,-10.5422215,-11.394702
AB-,1092,Bohnbach Thies GmbH & Co. KGaA,2023-04-04,,100-86-5728,margrafadriane,Univ.Prof. Jann Koch,marleen85@web.de,108,-67.5510465,4.164997
O+,1505,Morris Group,2024-03-17,"2250 Smith Tunnel, Salazarhaven, KY 28636",468-92-8380,danielwright,Stephen Wood,alanlopez@hotmail.com,366,8.2381905,53.380546
A+,1720,Plath,2020-11-12,,842-58-4161,ullrichsiegward,Radmila Juncken B.Eng.,staudesahin@web.de,547,1.7219675,95.27866
B-,1937,Ullmann e.V.,2021-09-21,,817-90-4905,rschulz,Univ.Prof. Adelheid Börner,antonino94@googlemail.com,665,-38.10273,13.835779
O+,1440,Fechner,2021-07-11,"Gotthard-Pergande-Allee 51/92, 48745 Schleiz",603-47-0948,asontag,Cengiz Bien,paffrathedelgard@web.de,426,28.721926,27.031523
B-,589,Sá,2024-03-30,"Avenida Dante Silva, 54, Lorena, 54486028 Nascimento de Moraes / AL",58623910702,lais27,Matteo Pereira,julianasousa@uol.com.br,110,37.844396,108.076959
A+,2134,"Argan, Comeriato e Fagotto e figli",2025-04-13,"Viale Polani, 667, 46012, Bozzolo (MN)",LNFDLM66S45E419E,zcarosone,Caterina Gualtieri,mtrapanese@outlook.com,353,51.1922715,38.172181
AB+,974,Crawford-Hood,2023-10-08,"55755 Scott Mountain Suite 475, West Tony, NM 59834",596-42-9572,richard32,Jodi Fuller,ysimmons@hotmail.com,598,-47.388133,171.95319
B+,676,"Gutierrez, Peterson and Nguyen",2025-07-22,"942 Jeremiah Parkway Apt. 486, Hurstfurt, MS 91931",862-20-5592,zyates,Mallory Miller,markpowers@yahoo.com,612,61.7565885,132.967461
O+,2027,Tafuri s.r.l.,2021-10-23,"Strada Ivan, 27 Appartamento 63, 85053, Montemurro (PZ)",RSLCHR30P17L355A,fulvioargenti,Dott. Daria Segni,piergiorgiovalmarana@tiscali.it,537,-70.542691,-174.169391
AB+,682,Casa Grande - EI,2023-02-17,,09286734131,cirinoapollo,Vicente Pires,estherdas-neves@ig.com.br,576,61.2566335,10.777278
O+,617,Santorio-Barsanti s.r.l.,2023-08-30,"Canale Marta, 166, 89052, Campo Calabro (RC)",SLRPCC56R64F203I,bajardimelania,Amalia Roncalli,gmatteotti@virgilio.it,131,22.6786515,111.90677
AB-,13,Disdero e figli,2021-01-28,"Incrocio Gastone, 9 Appartamento 7, 06081, Palazzo D'Assisi (PG)",GNTGRL55R24B915K,bottiglierolorenzo,Nanni Jilani,giampieropapafava@virgilio.it,690,42.761155,178.955951
AB+,1579,Atzler Thies KG,2024-03-03,"Eigenwilligweg 7039, 24272 Fürstenwalde",540-15-6521,rafaelbeckmann,Julius Hartmann,klaus-dieter86@gmail.com,736,89.6351805,-114.857354
A-,658,Brown LLC,2023-05-29,"30924 Nathan Turnpike, West Oliviafurt, SD 28254",116-53-9565,david84,Melissa Jones,qgarcia@yahoo.com,191,15.2813205,-163.023191
O+,1314,Bandello-Bodoni Group,2021-11-13,"Via Ciro, 76 Appartamento 6, 21012, Cassano Magnago (VA)",NGLMBT57E56B355G,ludovico05,Antonia Papafava,stoppaninapoleone@tin.it,226,45.636445,77.18635
B-,218,Gonzaga-Combi s.r.l.,2023-03-01,"Stretto Finetti, 3 Piano 1, 67066, Rocca Di Botte (AQ)",GSTFBA31D63E806O,ossanigiovanna,Hugo Niggli,giulianaleonetti@outlook.com,135,-2.2272855,-23.920324
A-,1487,Gomes Mendonça e Filhos,2022-05-01,"Campo de Dias, 8, Cidade Nova, 08191443 Sales de Sousa / RN",39451086242,luiz-miguelmontenegro,Ana Clara Nunes,tporto@uol.com.br,164,7.5394275,-115.435536
A+,282,"Smith, Johnson and Mccoy",2019-09-11,"PSC 3840, Box 6478, APO AP 44439",771-68-7533,brianmcconnell,Richard Harris,velazquezalexander@hotmail.com,600,12.0323415,84.882381
B-,433,Neuschäfer Bohnbach Stiftung & Co. KG,2022-02-22,,840-19-2368,lorchgerlind,Annedore Peukert,hilda12@aol.de,598,-22.879476,28.740352
B+,374,有限会社渡辺建設,2025-03-03,,424-59-7028,suzukimai,高橋 健一,atsushinakamura@hotmail.com,600,-58.240842,-162.118558
B+,59,Dunlap PLC,2019-06-03,,702-92-7335,moorescott,Johnny Morales,palmeraudrey@hotmail.com,39,59.9500995,8.776731
A-,1674,"Montesano, Contrafatto e Zacchia s.r.l.",2020-02-26,"Borgo Rossini, 431, 42049, Calerno (RE)",BDNRSR98S15D756I,ofilangieri,Susanna Ruggieri,flavia99@hotmail.com,562,23.801602,-164.496805
A+,1827,"Natta, Filippelli e Colletti e figli",2024-09-09,"Vicolo Altera, 15, 55011, Badia Pozzeveri (LU)",GRSGNG77B43M113B,piermariafoa,Toni Fantozzi,nicofederico@tiscali.it,281,-68.394601,-127.759055
O-,1455,Freitas,2019-12-09,"Residencial de Cassiano, 42, Alto Vera Cruz, 11077-040 Almeida / PA",40596813260,alanaferreira,Julia Leão,theodoroda-conceicao@gmail.com,321,-55.1175655,109.035066
AB-,463,da Mota Cardoso Ltda.,2022-01-01,,90254786383,yfarias,Renan Martins,santosemanuelly@gmail.com,626,-23.327827,-150.810432
A+,1100,"Tosto, Lancisi e Rocca Group",2019-11-29,"Borgo Eraldo, 534 Appartamento 7, 38016, Mezzocorona (TN)",GLGCHR37S15E283L,francescapellico,Luciano Viviani-Zabarella,carolinagualandi@poste.it,536,53.610553,168.507635
A-,1883,Davila PLC,2020-10-13,,295-73-6733,anne33,Andrew Walker,michelle25@yahoo.com,495,-59.216532,-170.702963
A-,1974,Niemeier,2019-12-31,"Magdalene-Müller-Straße 2, 93982 Görlitz",569-56-7611,liselotte89,Harold Römer,klaus-juergenwaehner@hotmail.de,454,15.436301,-148.146221
A-,154,Braun Inc,2018-10-04,"715 Charles Neck, Dylanville, WA 71524",451-34-5489,castrokevin,Brenda Garrett DVM,jeffrey26@yahoo.com,487,-60.1837825,-158.29797
AB+,602,山本印刷合同会社,2019-02-17,香川県富里市中三依28丁目13番20号 アーバン日本堤218,248-09-3945,kyosukeogawa,渡辺 京助,jun49@hotmail.com,659,-64.53003,105.711597
A+,1399,"Ferrabosco, Antonacci e Riccati e figli",2021-01-23,"Rotonda Babbo, 96 Piano 9, 46036, Revere (MN)",DLLDLM29T62F147C,arganvincenza,Erika Garobbio,dolores03@libero.it,64,81.287093,-104.151401
AB+,1111,合同会社小林印刷,2019-11-18,東京都渋谷区平河町8丁目24番13号,026-19-6998,tkato,近藤 七夏,taro64@yahoo.com,64,67.6952245,76.445089
A+,1308,森水産合同会社,2021-12-04,東京都三宅島三宅村太田ヶ谷11丁目6番13号,559-63-6600,fukudajun,佐藤 智也,satominishimura@yahoo.com,226,23.283461,-60.75102
B-,625,Henck Ring KG,2024-04-25,"Schülerplatz 10, 86038 Viechtach",910-59-0846,maximiliansontag,Ann Graf,fritznoack@web.de,561,10.695117,38.140749
B-,4,株式会社佐々木運輸,2024-10-22,岩手県山武市虎ノ門虎ノ門ヒルズ森タワー30丁目4番1号 シャルム中川崎010,016-97-9133,hideki42,山崎 直人,reiishikawa@gmail.com,352,-82.505863,165.578278
AB-,208,Moraes,2021-10-18,"Lago Ana Beatriz Nunes, Barreiro, 83611663 Rocha / PB",64975132800,osampaio,Bruna Siqueira,mpimenta@ig.com.br,528,-16.559481,12.900936
B-,229,Gonçalves,2022-01-13,"Distrito Miguel Rios, 18, Vila São Francisco, 33241-500 Aparecida / MG",36125047970,jose-pedroda-mata,Clarice Porto,marcelacorreia@bol.com.br,569,24.4788415,-1.493808
B+,1016,Klemm Kruschwitz GbR,2023-04-16,"Roggeallee 1, 60820 Meppen",129-91-4431,vcaspar,Roswita Fröhlich,lscholz@googlemail.com,76,50.5067485,179.254216
B-,825,Macedo Sousa Ltda.,2019-05-15,"Rodovia Theo Moreira, 29, Alta Tensão 2ª Seção, 58294775 Pacheco das Flores / MT",49137028669,maria-helena60,Mariane Dias,benjamimmoraes@yahoo.com.br,684,-70.355514,58.380257
A+,409,Andreotti-Cundari e figli,2020-04-09,"Piazza Umberto, 132 Piano 7, 63067, Cossignano (AP)",STCGBL42A64F985X,ppraga,Gastone Petrucelli,lettiereannalisa@alice.it,86,-75.2087145,-126.657545
B+,121,松本農林株式会社,2019-05-31,,113-02-3117,shota32,渡辺 里佳,akemisuzuki@yahoo.com,744,81.4821625,29.014772
AB+,1987,Pinto,2019-09-17,,69178023521,ymelo,Diogo da Mata,pastorlunna@hotmail.com,340,-12.067262,-41.115572
O-,333,山口ガス有限会社,2020-03-30,徳島県練馬区松浦町15丁目10番15号 上高野パーク459,282-52-7538,sotarotanaka,佐藤 明美,naoko62@gmail.com,118,45.2963925,87.794602
O-,1505,Camargo,2022-01-05,"Recanto Pinto, 38, Conjunto Jatoba, 98989-557 Cardoso da Praia / RS",52674108371,bcamargo,Maria Sophia Rodrigues,ramoshadassa@ig.com.br,677,63.957991,145.613464
AB-,225,Duse-Mocenigo Group,2024-02-27,"Via Angeli, 46, 62032, San Luca (MC)",GTTGRM91P46D670O,orlando42,Flavia Rapisardi-Garzoni,odetti@fastwebnet.it,720,58.9198275,-179.128366
B-,120,株式会社清水印刷,2021-08-17,東京都大島町東浅草2丁目1番1号,221-40-8618,sotarogoto,山口 美加子,naotoyoshida@yahoo.com,245,66.0197115,-22.277972
O-,762,阿部運輸有限会社,2022-05-10,山梨県我孫子市西浅草15丁目23番13号 コーポ京橋662,450-77-9978,jun82,山口 七夏,chiyo99@hotmail.com,32,68.8908025,-9.178529
AB+,369,Correia,2024-10-21,"Largo Antonella Gomes, Apolonia, 25054-811 Fonseca Alegre / RO",96238507195,leandropacheco,Mateus Almeida,gfreitas@gmail.com,87,-69.150424,-137.330455
A+,1296,Ribeiro S/A,2020-10-26,,72850631930,anthony24,Dra. Brenda da Cunha,yviana@yahoo.com.br,662,79.734605,-157.164096
AB+,1262,伊藤建設有限会社,2022-01-26,大阪府長生郡白子町吾妻橋21丁目15番5号,483-86-4969,takahashimiki,鈴木 千代,taro45@gmail.com,295,,
A+,1544,"Powell, Lucero and Carr",2025-05-01,"87658 Thomas Circle, North Jennifer, AZ 96662",747-83-2295,wwarren,Jeffrey Espinoza,pamela95@yahoo.com,382,70.1814295,146.951388
AB-,1290,Pacheco,2019-09-16,"Viela Hellena Cirino, 60, Belvedere, 97307103 Gonçalves / PR",25107946399,ribeiropietra,Ana Lívia Câmara,fogacamanuella@bol.com.br,343,-15.0658855,-65.361385
A+,434,Schweitzer,2023-05-27,"Magda-Sontag-Platz 3-5, 60598 Bad Langensalza",269-85-1772,eitel14,Christopher Rosenow,griehl@gmx.de,632,18.102084,-32.620853
O-,727,合同会社三浦農林,2025-02-11,熊本県匝瑳市上野桜木25丁目6番1号,719-05-0030,mnakagawa,前田 翔太,gendo@hotmail.com,544,-67.6808895,-33.677832
O-,336,Cabrera-Brown,2024-06-07,"35022 Bean Glens Suite 934, East Megan, PR 77160",332-11-9696,sara69,Nathan Fuller,robertgardner@gmail.com,706,-43.649874,-152.498631
B-,88,Câmara,2021-10-29,"Vila Lopes, 8, Vila Santo Antônio, 58975-291 Pastor do Sul / TO",49831502698,guilhermeferreira,Maria Julia Siqueira,stellaoliveira@gmail.com,486,66.548288,-155.212538
B+,1333,Gadda-Tarantino s.r.l.,2019-07-11,"Canale Giunti, 60, 64023, Montone (TE)",RMGCSN87H28C609I,mbarsanti,Stella Medici,concettabranciforte@libero.it,601,-71.68672,122.472208
O+,1369,高橋電気有限会社,2019-06-15,愛媛県西多摩郡檜原村氏家新田32丁目11番15号 轟シティ646,373-65-8296,kumikoyamazaki,近藤 くみ子,sotaroito@yahoo.com,559,35.278363,-157.652046
A-,856,Bruno s.r.l.,2022-02-04,"Vicolo Cocci, 96 Piano 5, 10092, Beinasco (TO)",CRSCRI06C45D189J,lara82,Mirko Casellati,ftremonti@libero.it,443,65.0557015,-15.846352
AB-,469,Tommaseo SPA,2024-02-06,"Borgo Rosa, 84 Appartamento 33, 10144, Torino (TO)",CHRCRN10C59H532Y,germana70,Teresa Bertolucci-Marazzi,mvigliotti@fastwebnet.it,604,2.729,110.115601
O-,775,Jones-Gutierrez,2023-07-09,"187 Anderson Roads Suite 856, North Darius, FM 76527",195-98-4060,daniel48,Joshua Peterson,kevindavis@hotmail.com,251,-1.432472,111.559208
O-,1691,Berry LLC,2022-10-15,"479 Bridget Vista, West Sierra, AL 78299",351-95-0712,blackdylan,Emily Davis,adam64@gmail.com,356,-85.1194495,-8.641192
B+,1917,Gonçalves,2023-02-24,"Favela de Peixoto, 15, Vila São Geraldo, 47071-770 Jesus de Pacheco / SP",36028175986,bentoda-paz,Sr. Henry Gabriel Pimenta,urocha@yahoo.com.br,550,,
A+,1570,Johnson-Silva,2019-11-08,"7732 Shirley Shores Apt. 423, Lake John, HI 69458",882-23-9853,richardgaines,Crystal Garcia,edwardramsey@yahoo.com,150,14.7010085,39.350395
AB-,1591,Long-James,2022-11-04,"675 Mercado Pass, Michaelside, SD 61704",754-50-8083,desiree95,Mary Walter,rcampbell@hotmail.com,353,51.338722,65.914324
AB-,1859,加藤電気合同会社,2018-10-01,滋賀県昭島市富久町18丁目24番10号 六番町パーク385,654-23-9894,mai51,岡本 洋介,watanabekaori@gmail.com,302,50.8323695,119.551082
O-,1252,Vendetti-Brugnaro SPA,2024-08-02,"Viale Danilo, 42, 45011, Fasana (RO)",GRFLND86L22D428S,bartolomeogiulietti,Pina Parisi,mattarellavincentio@yahoo.com,1,-33.2592855,125.67244
B-,1389,Camargo e Filhos,2024-03-11,"Colônia Costa, Vila Suzana Primeira Seção, 79624-228 Alves do Oeste / MA",82479051323,luna91,Maria Júlia Azevedo,thales66@uol.com.br,334,-78.453755,71.62788
O+,1868,福田電気合同会社,2019-06-14,長野県目黒区戸山9丁目27番17号 北上野アーバン086,325-99-7754,hota,小川 涼平,wmaeda@hotmail.com,150,,
O-,1312,"Tarchetti, Boccaccio e Nonis s.r.l.",2023-10-13,"Borgo Palombi, 492, 10149, Torino (TO)",VVNLSS45B02E844R,virginiasanudo,Evangelista Ferretti,beppe57@gmail.com,113,-89.813118,-165.93483
O+,1916,"Anguissola, Giammusso e Offredi Group",2020-05-29,"Stretto Adamo, 88 Appartamento 2, 44033, Berra (FE)",CTNMNC09T19E232L,barcacciafilippo,Virgilio Guarana,ilaria05@outlook.com,333,-27.694464,14.901181
AB-,1370,岡本電気有限会社,2024-09-01,長野県香取郡東庄町勝どき29丁目9番20号 コート幸手303,006-62-0026,csato,遠藤 修平,ikedatakuma@gmail.com,500,-68.6775685,145.764769
A-,70,Beccaria-Moneta s.r.l.,2021-05-26,"Borgo Eugenia, 3 Piano 3, 13885, Salussola (BI)",RSPFMM44T15G183W,durantepanicucci,Pasqual Barillaro,mondadoriannalisa@hotmail.com,455,-87.7982635,85.300695
A+,2106,有限会社鈴木建設,2024-09-25,京都府横浜市栄区白金16丁目11番1号 シティ日比谷公園902,428-32-0815,nanamikato,中村 陽子,yosuke51@hotmail.com,65,-9.1030635,145.568234
AB-,871,"Scamarcio, Sabatini e Navarria e figli",2024-11-16,"Viale Annunziata, 4, 10017, Montanaro (TO)",VTTNNT51L31A779F,lpratesi,Melania Versace,bborsellino@fastwebnet.it,468,-32.6160205,-100.47783
AB+,1674,Klapp,2022-08-21,"Muzaffer-Kranz-Weg 1/2, 28894 Wolgast",797-40-3265,mielcarekahmad,Dieter Haase,hermighausenisolde@gmx.de,587,-27.340059,113.373465
A-,1842,Morris-Scott,2021-04-28,"23576 Case Corner Suite 176, Mcdonaldport, FM 54364",342-21-6060,jonathan12,Timothy Brown,morristimothy@yahoo.com,211,14.9335585,-128.530729
O+,1326,Panatta-Tamburi s.r.l.,2022-06-17,"Piazza Veneziano, 0 Appartamento 36, 50142, Firenze (FI)",PCTGUO81H63H459R,paltrinierifederica,Melania Parri-Saraceno,carneraninetta@fastwebnet.it,447,51.613076,15.039397
AB-,1707,Maderna Group,2021-12-31,"Rotonda Paola, 84 Piano 3, 10070, Monasterolo (TO)",CZZFLR70M23C926H,guglielmo41,Imelda Comeriato,luca87@live.com,300,82.7123985,16.320021
O-,221,Schleich AG,2019-05-02,"Geißlerplatz 794, 15987 Pritzwalk",275-13-0489,eugenie50,Solveig Cichorius,heinz-dietermartin@gmx.de,400,-75.471157,-137.456719
A+,1322,Ballard and Sons,2019-07-17,"0437 Yang Spurs Suite 495, East Kristinburgh, MP 21740",516-45-5216,reedmichelle,Mercedes Mayer,edgar51@gmail.com,89,-61.8709755,92.813863
AB+,1933,Gadda SPA,2024-03-28,"Rotonda Lombroso, 7, 98040, Torregrotta (ME)",GRZMRH93L03E887J,giuliano57,Teresa Rossi,tropeaveronica@tim.it,609,65.94357,-142.398417
A-,1211,Johnson LLC,2024-09-15,"USCGC Knight, FPO AP 57211",323-89-7852,victorianunez,Elizabeth Walker,psmith@yahoo.com,67,,
B+,1948,Bärer Henck GmbH,2018-11-21,"Staudestr. 7/8, 33716 Hofgeismar",428-28-7849,soelzereugenia,Henrik Fritsch,mielcarekfriedbert@gmx.de,277,-60.1860365,161.245834
O+,889,Nohlmans AG,2018-11-22,"August-Hornig-Weg 10, 51064 Scheinfeld",132-26-4982,christophhartwig,Jennifer Briemer,ildiko33@aol.de,701,-47.8692895,-167.582862
O-,197,Dunn LLC,2023-12-04,"53213 Robert Ville Suite 339, Davishaven, WA 85542",635-77-9778,whitetimothy,Raymond Adams,martinjessica@gmail.com,585,-35.807385,172.344547
O+,1707,Mann PLC,2024-01-17,"9085 Wolf Haven, Donnachester, RI 06906",547-20-3757,brittanyvasquez,Diane Davis,pamelahamilton@hotmail.com,183,43.5480615,109.676875
O-,1836,Andrade - EI,2019-10-07,"Recanto Sarah Nunes, 85, Juliana, 23080-303 Araújo / MT",08127943622,eloahcarvalho,Anna Liz Cavalcanti,oalves@bol.com.br,78,-2.9511065,79.884785
A-,1991,"Rosiello, Verdi e Piccio SPA",2021-01-20,"Via Longhena, 257, 53047, Sarteano (SI)",TRLNGL46B64F083V,venancio89,Antonello Crespi,pergolesipaoletta@libero.it,332,-71.183703,62.422336
AB+,369,Snyder-Harris,2025-09-08,"9554 Michelle Crescent Apt. 001, East Davidfurt, MO 55249",388-09-3603,shannon40,Deborah Gill,twood@gmail.com,210,-45.847483,50.773522
O+,1942,合同会社藤田鉱業,2021-07-18,島根県印旛郡印旛村元浅草12丁目9番19号 ハイツ浅草橋792,493-81-9436,dsaito,山下 真綾,dkato@hotmail.com,557,-0.0657585,178.887332
B-,1414,Aparecida e Filhos,2019-10-17,"Chácara Nathan Carvalho, São Francisco Das Chagas, 75515643 da Rosa / ES",15674098301,inogueira,Luiz Gustavo Carvalho,kcosta@yahoo.com.br,414,-65.609334,-177.308067
A-,2045,有限会社佐藤通信,2022-06-01,和歌山県台東区二つ室31丁目9番20号 脚折町シティ058,675-37-6994,tomoya93,鈴木 真綾,emori@yahoo.com,687,63.564645,60.878982
AB-,332,Anderson Inc,2021-11-26,"Unit 5969 Box 9406, DPO AA 19616",652-89-0819,barryheather,Rebecca Cantrell,michelle38@hotmail.com,498,-87.098004,-173.731511
A+,1503,Scalera-Manunta e figli,2020-06-08,"Via Angeli, 238 Appartamento 80, 28865, Crevoladossola (VB)",DNSMLS84L20G294V,garobbiocaterina,Dott. Marcello Naccari,fedele41@alice.it,79,-79.3103025,-127.75526
B+,731,"Delgado, Morrow and Mooney",2021-06-19,"USNV Bell, FPO AE 73185",413-58-5414,ashley71,Tracy Sanders,jeffery26@hotmail.com,189,-14.4838655,-169.984672
B-,1830,Novaes,2025-04-05,"Rua Ana Beatriz Carvalho, 181, Nossa Senhora De Fátima, 79542-592 Vasconcelos / MA",08734651217,ccirino,Alexandre Fogaça,brayanvasconcelos@uol.com.br,393,,
A-,2003,加藤食品株式会社,2020-08-09,沖縄県目黒区平須賀38丁目17番12号 コート下宇和田165,352-21-8416,mai66,田中 幹,gotoryosuke@yahoo.com,416,42.156313,-104.389909
O+,740,Ortiz LLC,2023-04-23,"37863 Jennifer Club Suite 933, East Josephmouth, NJ 59777",324-36-2312,kennethwilliams,Michael Callahan,yreed@gmail.com,644,5.288956,-15.005958
O+,163,Weimer GmbH,2023-10-20,,235-73-3209,ikoch,Dipl.-Ing. Evamaria Peukert,alicja73@googlemail.com,688,1.919486,-124.409683
AB-,1618,合同会社佐藤電気,2022-01-28,沖縄県国分寺市前弥六20丁目24番5号 戸山コート080,327-08-4325,uito,高橋 健一,takahashikenichi@yahoo.com,229,-17.65113,-31.549416
AB+,759,山本農林有限会社,2025-07-20,石川県長生郡長柄町鳥越22丁目22番4号 アーバン皇居外苑860,858-65-9727,momoko22,松田 聡太郎,hideki59@gmail.com,638,80.456274,-79.450328
AB-,707,Pruschke Seip AG & Co. KGaA,2019-10-26,"Rohlederweg 955, 78712 Kitzingen",064-17-4009,tuerkanzirme,Aleksandr Binner-Beer,kjuettner@yahoo.de,469,5.473828,-42.24093
A+,828,Cesaroni s.r.l.,2023-05-15,"Via Giulia, 356, 30025, Teglio Veneto (VE)",GNVLLD81C49A552Z,cipollaantonia,Iolanda Pirelli,marcella00@tele2.it,63,55.722623,-110.239014
B+,220,Patel-Nielsen,2023-05-21,"11833 Timothy Shore, Ryanbury, IL 72875",505-55-6205,twinters,Elizabeth White,mariopayne@hotmail.com,547,-18.6976245,18.475102
AB-,1352,Dean-Lyons,2023-12-01,"389 Sean Mews, West Nicholasstad, NH 32922",199-94-9660,smithstephanie,Robert Hatfield,fnewton@hotmail.com,3,-58.135059,-146.0411
A+,2031,Preiß Siering e.G.,2022-06-06,"Thaddäus-Hesse-Platz 4, 52222 Nordhausen",700-35-5645,roderich47,Emmy Hamann MBA.,wrose@googlemail.com,63,35.934551,15.246321
A-,1982,"Grimes, Kelly and Simmons",2023-05-24,,574-38-8873,romerojennifer,Benjamin Ashley,psingleton@yahoo.com,187,-1.7413915,53.79554
AB+,694,"Johnston, Flores and Hicks",2018-11-12,"821 Hayley Roads Suite 112, New Jeffreybury, AS 68828",542-88-7540,lle,Rickey Sims,zosborne@yahoo.com,47,87.5758475,168.11582
A-,1219,Travis Group,2021-07-07,"77671 Hailey Port Suite 121, Lake Chelsea, PR 49599",471-85-1361,barnettalexandra,Christine Harris,brian55@gmail.com,691,-46.8006685,-124.373699
