blood_group	user_id	company	registration	address	job	ssn	username	residence	name	current_location	mail	station_ID
A-	1064	Ferretti-Serraglio s.r.l.	10 Jul 2019		Tourism officer	BBTRBT46L59I840Y	itomaselli		Annetta Fallaci	(Decimal('19.7800575'), Decimal('53.069944'))	andreozzimartina@libero.it	724
B+	2147	Mude Karge GmbH & Co. KG	2021-07-30	"Zdenka-Fechner-Ring 65
55228 Brilon"		181-06-9363	carolineberhardt		Wanda Röhricht	(Decimal('-75.6526655'), Decimal('36.162438'))	beertom@aol.de	628
B-	701	Munari s.r.l.	11 Apr 2023	"Borgo Giovanni, 29
00073, Laghetto Di Castel Gandolfo (RM)"		SSNMCA14S45E482W	cristina68		Mauro Florio	(Decimal('-62.197439'), Decimal('-66.720935'))	leopoldo10@tim.it	135
B+	1528	Mills, Anderson and Conway	27 Sep 2023	"15207 Mcgrath Dale Apt. 071
Ebonyton, VA 94553"	Amenity horticulturist	129-92-0824	christineking		Jason Evans	(Decimal('-72.459472'), Decimal('-69.367980'))	fclark@hotmail.com	49
B-	507	Kranz	29 Jan 2023	"Beata-Stolze-Straße 21-35
01146 Marienberg"	Polizist	750-97-0159	tkrein		Daniel Trapp	(Decimal('55.326291'), Decimal('-61.047054'))	elisabeth68@aol.de	336
A-	126	Brito	11/26/2018, 00:00:00	"Núcleo Maria Brito, 5
Barão Homem De Melo 3ª Seção
26755-768 Sá Verde / SE"		54180639289	correiaalexandre		Ana Laura da Cruz	(Decimal('23.221739'), Decimal('28.470408'))	pachecobryan@yahoo.com.br	726
A+	949	May Group	07/01/2020, 00:00:00	"989 Taylor Prairie
New Brendamouth, FM 89310"		258-38-0698	thomas33		Aaron Graham	(Decimal('-57.821411'), Decimal('108.993759'))	myersrebecca@yahoo.com	196
AB+	293	株式会社井上水産	04/24/2020, 00:00:00	三重県青梅市池之端34丁目10番20号	栄養士	547-94-9085	mshimizu		石川 里佳	(Decimal('36.099500'), Decimal('-0.191792'))	haruka18@gmail.com	516
A+	517	加藤通信株式会社	06 Jan 2025	長野県青梅市隼町28丁目22番20号	音響技術者	270-42-3080	kaoriyamamoto		後藤 陽一	(Decimal('6.644973'), Decimal('-157.422124'))	yumiko51@hotmail.com	536
A-	1152	Ramirez Ltd	03/08/2023, 00:00:00	"945 Traci Roads
Codyside, ME 13108"	Charity officer	356-88-7426	ballardlisa		Amy Smith	(Decimal('-69.2591395'), Decimal('46.093753'))	claytonnicole@yahoo.com	584
AB+	167	Aparecida	05/10/2022, 00:00:00	"Trecho de Pires
Esplanada
12031-362 Cassiano / ES"	Lactarista hospitalar	50976382474	mendoncabruna		Dr. Diogo Vargas	(Decimal('-71.174309'), Decimal('46.948008'))	lucasdas-neves@hotmail.com	228
O-	1601	Boitani-Bottigliero s.r.l.	08 Jan 2021	"Contrada Ferrari, 8
70121, Bari (BA)"	Environmental consultant	PTRFMM37E03G596I	lsavorgnan		Mariana Coppola-Duse	(Decimal('-15.9135335'), Decimal('-136.681030'))	vruggieri@vodafone.it	628
O-	1204	Maglio e figli	2025/04/24	"Rotonda Caracciolo, 99
84061, Eredita (SA)"		LXRGDU88M59L991Y	mondadoriflavio		Giorgio Bataglia	(Decimal('-57.991059'), Decimal('-4.888731'))	sabatino56@libero.it	139
O-	318	Lamborghini-Polani SPA	06/25/2024, 00:00:00			RNGSRN97T26C050N	giovanni50		Giampaolo Parri		guaranaadriana@libero.it	687
A-	639	Gonçalves	2021-03-27	"Vereda de da Luz, 8
Céu Azul
48644226 Freitas do Norte / SE"		21490568360	pereirastella		Isabel Siqueira	(Decimal('-20.924049'), Decimal('52.195959'))	pedro-henriquegoncalves@hotmail.com	368
A-	258	Almagià, Piazzi e Pavanello e figli	05/08/2019, 00:00:00	"Viale Ceci, 46 Piano 6
10037, Torrazza Piemonte (TO)"	Customer service manager	BRRVLT35C19I804O	luisa66		Vittoria Stradivari-Crispi	(Decimal('-77.5388905'), Decimal('38.924474'))	antoninaalfonsi@tiscali.it	331
O+	1719	Scott-Peterson	10 Feb 2022	"223 Garcia Road
Lake Sharon, MD 47830"		770-44-7693	hancockcourtney		Megan Turner	(Decimal('59.7497435'), Decimal('-40.517497'))	owashington@gmail.com	190
B-	1301	Aragão Pacheco - EI	12 Jun 2020	"Trecho Liam Cassiano
Nova Gameleira
06891-126 Gonçalves / AM"		09674831584	moraesrael		Ana Carvalho	(Decimal('-63.0957025'), Decimal('7.474997'))	ana-sophia42@hotmail.com	135
B-	1702	Lewis-Fernandez	2019-07-25	"736 Herrera Island
East Morgan, GA 27104"		058-26-7777	cgarcia		Allison Anderson	(Decimal('55.9485065'), Decimal('167.907567'))	maxwell30@gmail.com	62
O+	991	Reid, Parker and Taylor	2024/02/26	"01437 Downs Creek
East Richard, DE 50055"		245-29-2388	ngraham		Pamela Wheeler	(Decimal('64.5716235'), Decimal('-65.307322'))	ashleymanning@gmail.com	726
AB+	1235	Carter, Washington and Hale	07/12/2024, 00:00:00	"921 Ford Estates Suite 809
Lake Stacieborough, NC 52106"		739-83-1465	kathleen55		Jeffrey Mitchell	(Decimal('67.292439'), Decimal('-127.576873'))	williamvillegas@hotmail.com	662
O+	1514	Ginese SPA	31 Aug 2020	"Vicolo Persico, 81
20010, Mantegazza (MI)"		NNCRSN96R05I129D	bertoliannalisa		Laura Gioberti	(Decimal('0.667431'), Decimal('111.402997'))	benitoborsiere@hotmail.it	738
A-	631	Mendonça S/A	12/17/2020, 00:00:00		Polidor de produção	19467325837	hellenaporto		Melina Nunes	(Decimal('-40.328971'), Decimal('57.363867'))	rpires@gmail.com	702
O+	581	Weihmann Davids AG	2024/05/27	"Hasan-Scheel-Ring 50/50
29789 Eggenfelden"	Polizist	565-96-5760	salzannelie		Dietrich Misicher	(Decimal('38.539180'), Decimal('-73.067515'))	seipjohn@googlemail.com	262
B-	1089	Mendonça	2023-03-30	"Jardim de Novais
Varzea Da Palma
21381903 Lima / MA"		03415798232	pereiradaniel		Yago Alves	(Decimal('-19.846328'), Decimal('-136.971456'))	nnovais@hotmail.com	386
O+	2139	小林電気合同会社	2021/01/30		医師	401-87-3722	saitoharuka		藤井 千代	(Decimal('81.870957'), Decimal('-12.009378'))	gyamashita@gmail.com	729
AB+	1110	Kabus Stiftung & Co. KG	01/05/2021, 00:00:00		Bäcker	790-43-3236	iherrmann		Dr. Goran Kostolzin	(Decimal('-65.6661255'), Decimal('11.266388'))	gunpfadelheid@gmail.com	377
A+	2134	Döhn GmbH	05/14/2020, 00:00:00			898-74-2277	heydrichkatrin		Gudula Jäkel MBA.	(Decimal('55.9449255'), Decimal('122.835532'))	tuelayfoerster@aol.de	59
O-	323	Cunha	2024-07-19	"Largo Pereira, 62
Solar Do Barreiro
76541-991 Cassiano do Oeste / SC"		71805432923	daniloandrade		Sra. Eduarda Porto	(Decimal('-52.248123'), Decimal('135.185481'))	maria-luisa06@hotmail.com	314
A+	1000	Surian, Ficino e Guarana Group	2024-03-23	"Viale Monicelli, 738 Piano 9
33057, Jalmicco (UD)"	Production engineer	MRRVTI82H62F280Y	melina19		Girolamo Broggini	(Decimal('-58.400090'), Decimal('-4.487514'))	fpapetti@libero.it	688
A-	1995	Oconnell, Sanchez and Vaughn	2019-09-18	"PSC 5612, Box 7646
APO AP 17071"		164-94-8367	mbowers		Barbara Mendoza	(Decimal('-6.902010'), Decimal('-22.429416'))	nrhodes@hotmail.com	434
O-	933	Interminei-Boccioni Group	02 Aug 2024	"Canale Lamberto, 126
45031, Arqua' Polesine (RO)"	Dramatherapist	MNNCLC57L65E971E	francopanicucci		Dott. Ferdinando Trezzini	(Decimal('13.1519965'), Decimal('-72.292202'))	cbianchi@libero.it	659
AB+	1717	Adams-Walker	2025-04-10	"84229 Sweeney Pines Apt. 030
New Patricia, OK 55389"		073-17-3943	joneskimberly		Jonathan Bernard	(Decimal('-80.348643'), Decimal('60.928863'))	qprice@hotmail.com	146
AB+	1512	Galtarossa SPA	01/13/2021, 00:00:00	"Vicolo Alphons, 20
33016, Pontebba (UD)"		SCTLSS99A46G266V	vittoria97		Milena Salvini	(Decimal('-49.6872015'), Decimal('-96.727479'))	wbeccaria@tele2.it	105
A-	1524	株式会社斎藤建設	14 Sep 2025	静岡県多摩市戸塚町36丁目14番8号 港南パレス431		495-34-0364	shohei24		吉田 里佳	(Decimal('37.2833525'), Decimal('109.826464'))	tanakaatsushi@hotmail.com	550
AB+	586	Guerra	2025/01/31	"Esplanada Arthur Cassiano, 82
Savassi
14804095 Correia / AM"		26985134700	yasminsilva		Anthony Moura	(Decimal('-55.362787'), Decimal('103.231918'))	matteo97@gmail.com	89
B-	1812	Graf Barkholz AG	2023-08-01	"Süßebierallee 1
79118 Großenhain"		428-29-4682	adussen-van		Abram Döhn	(Decimal('-7.490956'), Decimal('-41.223259'))	pieperbertold@gmail.com	626
A-	1976	Castro	2018/10/04	"Setor Dante Teixeira, 44
Vila Das Oliveiras
04951381 Mendes de Ramos / SE"	Administrador público	85063917410	umoraes		Larissa Barbosa	(Decimal('4.6214105'), Decimal('126.810033'))	pastorbruna@uol.com.br	541
B-	1350	Jacobs Ltd	2019/02/08	"466 Kelli Ways Suite 344
Mariaberg, WI 42868"		619-36-9077	omalone		Jeffrey Meyer	(Decimal('-28.3751495'), Decimal('63.963627'))	petersonkenneth@yahoo.com	119
O-	1794	池田運輸合同会社	2021/11/10	東京都香取郡多古町土呂部4丁目11番3号 ハイツ四区町023		504-04-5556	naoto52		木村 七夏	(Decimal('73.2159065'), Decimal('-120.525954'))	gkimura@hotmail.com	479
A+	1362	Smith, Murphy and Johnson	2020-07-05			670-93-5838	ojohnson		Peter Sawyer	(Decimal('-55.482268'), Decimal('-165.234239'))	gouldjonathan@hotmail.com	293
O+	238	Antonelli-Gregori e figli	2019/05/13	"Viale Pennetta, 697
17015, Celle Ligure (SV)"		LGRCRT19C07G551Y	nolcinigalasso		Sig.ra Melina Gabba	(Decimal('-80.7216955'), Decimal('34.661410'))	jolanda54@tin.it	401
O-	56	Gagliano, Caffarelli e Mancini Group	07/23/2025, 00:00:00	"Borgo Maurilio, 4 Piano 2
17100, Santuario (SV)"	Petroleum engineer	FRNSBN10S48F542N	giadascarlatti		Marina Vasari	(Decimal('-47.771761'), Decimal('-30.204088'))	concetta20@fastwebnet.it	652
B-	122	Lucas-Wagner	01/16/2022, 00:00:00		Designer, ceramics/pottery	837-81-2842	fordnichole		Tommy Rogers	(Decimal('-62.203285'), Decimal('154.048498'))	ryanevans@gmail.com	648
AB-	1205	Pimenta	06/19/2021, 00:00:00	"Estação de Pastor, 2
Pindura Saia
69688955 da Conceição Grande / SE"	Vereador	10538649224	kevin55		Maria Helena Mendes	(Decimal('-58.4505385'), Decimal('-136.539174'))	lopesalice@ig.com.br	445
AB-	1818	Gehringer Adolph OHG mbH	25 Sep 2022			925-77-4643	hans-georgweinhage		Marie Segebahn B.A.	(Decimal('-41.116569'), Decimal('57.195404'))	mjungfer@aol.de	709
A+	1220	Paganini s.r.l.	05/07/2020, 00:00:00	"Strada Daria, 15 Appartamento 2
65125, Pescara (PE)"	Radiographer, therapeutic	PLLMRH61C12C803W	luxardodamiano		Evangelista Cerquiglini-Bassi	(Decimal('79.796093'), Decimal('67.352732'))	alessandro75@tin.it	326
O+	2122	Hein Förster AG & Co. KGaA	30 Sep 2020	"Steygasse 433
36134 Hildburghausen"		206-55-7076	karl-heinzschuchhardt		Loretta Rörricht	(Decimal('89.351722'), Decimal('56.950387'))	grein-grothhans-helmut@gmx.de	584
A-	1963	Collina, Scarfoglio e Travaglia e figli	2021-01-09	"Vicolo Schiaparelli, 21
10059, Susa (TO)"		STNRMI50T04F050M	luciano67		Orlando Sibilia	(Decimal('64.1480845'), Decimal('139.596778'))	anita27@fastwebnet.it	71
B-	150	Fonseca Garcia Ltda.	2024-08-19	"Estação Luna Pinto, 1
Xangri-Lá
42754-814 Nascimento / SE"	Peixeiro	47683291013	ana-luizamoreira		Giovanna Aragão	(Decimal('-55.1231515'), Decimal('-76.581066'))	rodrigosampaio@hotmail.com	268
B-	20	Camargo	2022/11/27			91723586455	araujothiago		Henry Casa Grande		lcampos@ig.com.br	718
B-	521	Micca Group	2020-12-04	"Viale Aurora, 686 Piano 9
32020, Cencenighe Agordino (BL)"		NDRGDU63A51I531I	serafina92		Sole Carocci	(Decimal('-3.605744'), Decimal('-62.459433'))	vferrari@alice.it	681
A-	1657	Allen Ltd	03/27/2024, 00:00:00	"85275 Garcia Ports
Wagnerbury, TX 76364"	Town planner	843-17-2588	combsalexandra		Mark Velasquez	(Decimal('61.1537805'), Decimal('-32.183376'))	gjames@hotmail.com	652
B-	2115	Klingelhöfer Döring GmbH	22 Oct 2024	"Steckelring 10/40
45532 Stollberg"	Informatiker	723-25-1356	sschinke		Felicia Dörr	(Decimal('-75.063432'), Decimal('49.554136'))	fechnerphilipp@yahoo.de	340
O-	1396	Rodrigues Moura S/A	07 Jun 2024	"Distrito Josué Rodrigues, 93
Vila Paris
45634-816 Vargas do Sul / TO"	Artista de circo	50729163830	lorenanascimento		Clarice Cunha	(Decimal('59.075796'), Decimal('-42.039284'))	julia37@bol.com.br	415
AB-	1984	Carsten	2019-06-23	"Otfried-Mangold-Straße 3955
73363 Erfurt"		383-58-7403	haenelmargot		Magret Hellwig	(Decimal('26.326651'), Decimal('16.354023'))	kuhloskar@googlemail.com	709
O-	166	Jackson-Thompson	31 Aug 2023	"01005 Isaiah Parks Suite 300
New Victorbury, ME 85630"		782-04-1232	stephanie60		Robin Flowers	(Decimal('-79.728792'), Decimal('36.013921'))	tiffany22@yahoo.com	495
AB-	1092	株式会社鈴木ガス	2020/04/19	宮崎県立川市猿楽町23丁目12番14号 アーバン前弥六南町806		869-02-8948	tomoya68		阿部 直子	(Decimal('45.848501'), Decimal('-143.754433'))	hashimotosayuri@hotmail.com	745
O-	286	Sampaio - EI	15 Sep 2019	"Alameda da Mota, 9
Álvaro Camargos
15134293 Jesus / RS"		68537120480	portoliz		Dra. Raquel Alves	(Decimal('-7.5219505'), Decimal('-7.757430'))	melinaandrade@gmail.com	651
B-	1747	Bettin, Satriani e Franzese s.r.l.	2024-03-25	"Via Adelasia, 57 Appartamento 1
28841, Antronapiana (VB)"		CRPDRA48S17F648W	paride61		Alberico Manacorda		fabrizio92@libero.it	539
AB-	1697	Vasconcelos	23 Sep 2022	"Largo Montenegro, 322
Nossa Senhora De Fátima
18628601 Oliveira / SC"		34965871057	kmoraes		Pedro Miguel Lopes		pereiraolivia@hotmail.com	413
B+	1630	Mendonça	28 Nov 2024	"Favela de Vieira, 616
São Geraldo
91632645 Brito / TO"	Mototaxista	07189425667	amendonca		Mateus Fonseca	(Decimal('54.546680'), Decimal('100.433112'))	felipe11@hotmail.com	278
B-	631	Geisler KG	11/07/2022, 00:00:00	"Friedhelm-Löchel-Gasse 35
89270 Lörrach"		024-56-7486	samiraplath		Wenzel Adolph-Harloff	(Decimal('-9.5160105'), Decimal('54.149454'))	ernsttraute@gmail.com	513
AB-	310	Siering	2021-07-23		Polizist	015-13-6494	meisterlothar		Katarzyna Hahn	(Decimal('44.659835'), Decimal('119.560496'))	mlorch@gmail.com	719
B+	463	Fogazzaro, Ziani e Barillaro s.r.l.	03 Jun 2020	"Via Monicelli, 43
28076, Pogno (NO)"	Multimedia programmer	ZGRCSR72L49G514P	ksolimena		Sig. Gilberto Cainero	(Decimal('43.2823235'), Decimal('-69.030261'))	borromeogianfranco@alice.it	385
A+	384	Santos	2022/03/24	"Rua de Fonseca, 109
Pongelupe
79374-301 Nascimento Paulista / RS"		50147639875	luiz-felipe40		Dr. Liam Jesus	(Decimal('84.2335845'), Decimal('-137.826860'))	da-luztheodoro@gmail.com	103
A+	32	Trincavelli-Frescobaldi SPA	25 Dec 2024			BTTLLD18D63H462C	annunziata75		Renzo Ravaglioli-Muti	(Decimal('-72.8643475'), Decimal('53.473226'))	emilio83@libero.it	262
AB-	392	Scholtz Stiftung & Co. KG	22 Dec 2020	"Sauerring 29/37
98721 Neustrelitz"		844-58-1387	christin36		Jessica Trapp-Misicher	(Decimal('28.3898335'), Decimal('-166.809468'))	schinkeemmerich@yahoo.de	661
A+	2140	Bryant-Conner	11/14/2022, 00:00:00	"99577 George Grove Apt. 004
South Nicole, MD 29300"		690-50-3368	josephchen		Robert Wright	(Decimal('79.5135465'), Decimal('21.255385'))	yavila@yahoo.com	690
A-	626	Brancaccio-Ferrazzi s.r.l.	09/07/2023, 00:00:00			TMSVRN59L20F999J	vstaglieno		Renata Pincherle		ritaccanicola@live.com	17
AB-	1265	Lindner	22 Jun 2021	"Beatrix-Heinrich-Straße 2288
93026 Niesky"		409-92-1570	milica36		Richard Riehl-Zirme	(Decimal('-78.1614205'), Decimal('-137.657203'))	benedikteckbauer@aol.de	443
A+	1134	Perozzo SPA	02/12/2020, 00:00:00			TRVNCL50A59H962T	kgangemi		Costanzo Zecchini	(Decimal('-21.9062165'), Decimal('73.438537'))	elisa91@live.com	450
O+	1904	Schwital Täsche GmbH & Co. KGaA	2022/07/22	"Adlerring 0
69565 Scheinfeld"		661-26-6096	davidsgitte		Mechtild Gierschner	(Decimal('-12.522127'), Decimal('78.565871'))	iljazaenker@googlemail.com	460
O-	16	Teixeira Montenegro - ME	2020-09-04			67140285390	da-costabenjamim		Davi Lucas Pastor	(Decimal('82.078964'), Decimal('51.822822'))	beatriz83@bol.com.br	582
A-	1728	Williams, Jones and Hill	2024-04-18	"143 Julie Ferry Suite 303
New Scotttown, SC 24101"	Equality and diversity officer	227-26-7553	michelle02		Victoria Allen	(Decimal('32.473093'), Decimal('-59.753562'))	craig38@gmail.com	461
A+	2131	Sousa S/A	04 Jul 2021	"Morro Maria Isis Teixeira, 69
Aparecida 7ª Seção
78053838 Melo / TO"		63789425109	cardosothomas		Ana Laura Cavalcante	(Decimal('-10.228446'), Decimal('-144.223999'))	unascimento@gmail.com	732
O+	1979	Lombardo Group	04/23/2024, 00:00:00	"Via Zeffirelli, 624 Appartamento 0
40016, San Giorgio Di Piano (BO)"		CTNMRT64P11G590F	lambertoscarpetta		Dott. Nicolò Bonatti	(Decimal('-13.984786'), Decimal('-31.407896'))	silvestromodigliani@poste.it	396
AB+	737	鈴木通信有限会社	05/23/2024, 00:00:00			176-74-6145	fmori		西村 稔	(Decimal('76.132577'), Decimal('-30.809634'))	znakagawa@yahoo.com	217
O-	1768	有限会社鈴木鉱業	02/05/2020, 00:00:00			019-27-6264	mituru18		山口 加奈	(Decimal('0.4369855'), Decimal('-16.966316'))	takuma98@hotmail.com	655
O-	280	Navarro-Ramsey	2018/12/31	"655 Young Springs
Michaeltown, GA 10481"	Futures trader	140-24-3847	ryan50		Travis Hull	(Decimal('42.780152'), Decimal('-128.139913'))	laurasmith@hotmail.com	282
A-	30	Peixoto Cirino Ltda.	2019-01-29	"Largo de Gonçalves, 2
Conjunto Providencia
81731273 Vasconcelos de Lopes / CE"	Tecnólogo em papel e celulose	41928750630	zmoraes		Maria Flor da Mata	(Decimal('36.615839'), Decimal('138.828936'))	theosilveira@ig.com.br	623
B-	2079	株式会社吉田電気	05 Jul 2021	三重県横浜市中区上広谷41丁目18番11号 ハイツ入谷111		485-27-4641	itakahashi		後藤 浩	(Decimal('71.4499995'), Decimal('-113.966915'))	takahashikyosuke@yahoo.com	283
AB+	1241	中村電気株式会社	2024-07-28	千葉県横浜市旭区神明内41丁目24番14号 シャルム明石町169		601-23-7009	kana43		石井 さゆり	(Decimal('3.467996'), Decimal('100.873897'))	sito@hotmail.com	686
O+	1375	Bulzoni s.r.l.	21 Oct 2024			GLTLLL59B17D835O	biagiomalenchini		Maria Rastelli-Squarcione	(Decimal('-17.3270845'), Decimal('26.288982'))	idandolo@libero.it	345
B+	130	Davids Schinke KG	07 Jan 2020	"Gehringerallee 41/32
98739 Hainichen"		703-18-9139	scheibemarta		Denis Davids-Martin		waltermarco@web.de	231
B+	602	Lima	16 May 2023	"Ladeira de Caldeira, 51
Lorena
68884-954 Martins da Serra / PA"	Ilustrador	51734062916	lucas-gabrielgomes		Catarina Farias	(Decimal('64.998431'), Decimal('95.051343'))	tgomes@bol.com.br	690
B-	401	Kruschwitz	2020-03-13	"Bolnbachring 30/76
67270 Eichstätt"		394-46-9524	aliebelt		Janett Fritsch MBA.	(Decimal('52.2422355'), Decimal('-153.483266'))	hans-adolfgude@yahoo.de	458
A-	1801	Camacho, Willis and Whitney	14 Sep 2021	"6575 Sherman Mill Suite 524
Port Melissa, CT 54887"		698-93-2095	davistanya		John Williams	(Decimal('71.221978'), Decimal('-76.235252'))	lawsonbryan@yahoo.com	133
O+	786	Trussardi-Interiano s.r.l.	2019-05-13	"Rotonda Fittipaldi, 90
71018, Umbra (FG)"		SNDGSP20D27L165W	maria75		Martino Fagotto	(Decimal('-85.8472195'), Decimal('-157.672694'))	alessiafagotto@libero.it	664
O-	966	Blümel AG & Co. OHG	03/03/2023, 00:00:00	"Süleyman-Gröttner-Straße 27/44
52353 Freital"		457-46-9730	sven72		Anna-Marie Metz	(Decimal('-66.971630'), Decimal('8.154504'))	gesine28@hotmail.de	233
A-	45	Hancock, Strickland and Colon	04/13/2020, 00:00:00	"8680 Beck Parkways
Robertfurt, PW 72165"		798-32-2850	briggsjohn		William Morris	(Decimal('-23.4015735'), Decimal('-29.152606'))	zford@hotmail.com	555
A-	489	Long-Clark	23 Nov 2020	"63880 Wendy Mall Suite 095
Kristiview, GU 89401"		622-32-8846	josephfernandez		James Contreras	(Decimal('-57.917074'), Decimal('-164.883100'))	holsen@yahoo.com	242
B-	771	Pacillo Group	2020/08/16	"Viale Filippo, 79 Piano 5
55064, Pascoso (LU)"		STRGBL37M61M309E	pucciobarzini		Elvira Nosiglia	(Decimal('-72.823651'), Decimal('27.453343'))	livia86@yahoo.com	228
A+	1534	Metz	2019/11/25	"Ekkehart-Losekann-Straße 42
79823 Crailsheim"		361-91-5759	schmidtferenc		Hilde Häring	(Decimal('-75.793504'), Decimal('-125.116827'))	siegbert88@aol.de	712
B+	748	Rosenow Juncken KG	2024/06/02	"Keudelweg 9142
97908 Waldmünchen"	Bankkaufmann	336-02-0655	rstroh		Prof. Almut Hendriks MBA.	(Decimal('35.8305635'), Decimal('-33.229769'))	krokerartur@aol.de	349
O+	1345	Schulz Killer OHG mbH	2024-04-19	"Alicja-Dörr-Weg 8/7
60005 Pfaffenhofen an der Ilm"		533-65-9493	gabriellakraus		Dipl.-Ing. Blanka Junken MBA.	(Decimal('-79.4552895'), Decimal('10.219436'))	heinz-dieterriehl@hotmail.de	151
AB-	1910	Schomber AG & Co. KG	2022/05/03	"Höfigstraße 56/38
74152 Ludwigsburg"	Augenoptiker	995-61-1870	herwig48		Milka Zahn	(Decimal('-49.824654'), Decimal('66.061909'))	fstolze@yahoo.de	372
O+	1882	Guerra S.A.	2021-12-14	"Vale Oliveira, 8
Sagrada Família
88251476 Pastor do Galho / RS"		32076814507	aragaomaria-isis		Maria Cecília Moraes	(Decimal('-20.6315385'), Decimal('-140.729413'))	davi-lucasdas-neves@ig.com.br	134
B-	659	Rezende Mendes e Filhos	2023-07-26	"Lagoa Vitor da Luz, 28
Candelaria
47990899 Andrade / TO"	Prefeito	24895301788	pporto		Ravi Freitas	(Decimal('74.8486555'), Decimal('-150.988814'))	fpinto@gmail.com	129
O+	181	Tommaseo, Persico e Fischetti Group	2019-08-02	"Piazza Tebaldi, 764
87011, Pianoscafo (CS)"	Journalist, magazine	TSCCHL39B61A325H	ecavanna		Adelasia Donati	(Decimal('-21.381974'), Decimal('-137.590102'))	quasimodolara@libero.it	49
O-	532	Steele LLC	2021-04-14	"69792 Leslie Camp
Andradeville, MI 26101"		814-88-5236	laurendyer		Aaron Rhodes		saragallegos@gmail.com	403
B+	1878	Acerbi-Ferrabosco SPA	2019-08-07		Public relations officer	GBBGSN35E66L450L	gianettimilo		Arnulfo Mancini	(Decimal('77.739913'), Decimal('100.720916'))	enzocalvo@alice.it	298
O+	1707	Allen-Foster	18 Nov 2022	"41456 Kelley Loop Suite 545
Port Eric, KY 95982"	Volunteer coordinator	707-73-3351	clarkjohn		Rachel Brady	(Decimal('-71.007008'), Decimal('-164.511732'))	jessica05@gmail.com	173
O+	266	Dillon-Neal	2022/12/31	"02346 Amy Stravenue
New Jaclynbury, DC 32608"		326-24-4623	charlesjames		Melissa Levy	(Decimal('69.628651'), Decimal('-168.950094'))	beckjoseph@gmail.com	702
AB+	1603	Stey AG	2024-10-02	"Lina-Eigenwillig-Ring 8
06089 Hildesheim"		282-15-2371	tpaffrath		Mirella Meyer	(Decimal('-57.2966525'), Decimal('-55.589612'))	auch-schlauchinstephan@hotmail.de	447
A-	1256	石川電気合同会社	2024/10/04	宮城県横浜市神奈川区浅草7丁目15番6号	航海士	764-33-5152	nyamada		中川 直人	(Decimal('-53.7381485'), Decimal('-51.828535'))	mai71@gmail.com	65
O+	697	Oliveira	2023-11-23	"Via Marcelo da Rocha, 333
Belmonte
96570890 Nogueira / AC"	Capitão	02496578130	lleao		Eduardo Aragão	(Decimal('29.539097'), Decimal('-91.816910'))	nataliafonseca@ig.com.br	263
B-	1385	Rosemann Stiftung & Co. KG	2020/02/18	"Binnerallee 149
16061 Sonneberg"	Elektroniker	089-27-4024	svenja78		Leander Linke	(Decimal('40.6921415'), Decimal('107.137458'))	dragan09@hotmail.de	505
A-	1598	小林電気有限会社	16 Jul 2019	埼玉県三鷹市浅草橋6丁目11番13号 下宇和田シティ841		854-18-1370	kyamashita		坂本 直子	(Decimal('-2.333629'), Decimal('105.393113'))	kana56@hotmail.com	515
O+	1285	井上農林合同会社	2021-01-02	茨城県香取市西小来川4丁目20番17号 四区町パレス521		415-98-5199	rei16		森 花子	(Decimal('41.983184'), Decimal('-11.796535'))	ukimura@gmail.com	172
B-	939	小林印刷合同会社	2023/08/09	鳥取県我孫子市大京町22丁目2番2号	配管工	756-68-4368	momokohashimoto		遠藤 治	(Decimal('-3.150420'), Decimal('145.838677'))	wwatanabe@hotmail.com	352
AB-	415	遠藤鉱業合同会社	2020-03-20	宮城県八王子市東上野1丁目18番13号 コーポ筑土八幡町443		194-91-9022	chiyotanaka		小林 零	(Decimal('-63.917748'), Decimal('47.630492'))	yoko04@hotmail.com	223
O+	1211	合同会社清水水産	31 Aug 2024	埼玉県豊島区湯宮5丁目27番9号 千束パレス751		031-29-4009	gyamamoto		山田 健一	(Decimal('58.213773'), Decimal('-60.987633'))	satokaori@hotmail.com	160
AB+	1548	Mocenigo e figli	2023/01/04	"Viale Petrucci, 4 Appartamento 7
09129, Cagliari (CA)"		CSGCHL17R44C783A	elenasegni		Angelina Coppola	(Decimal('-17.231711'), Decimal('-29.717625'))	lando03@live.com	285
AB-	1290	合同会社岡本水産	19 Jun 2025	愛媛県東村山市箭坪39丁目13番10号 豊町ハイツ214	アイドル	898-85-1975	kazuya45		長谷川 加奈		suzukiryosuke@gmail.com	636
AB-	1467	da Mota S.A.	2022/08/29	"Área Mateus Peixoto, 86
Gutierrez
99830-616 Camargo de da Cunha / PR"		38571460957	bvieira		Allana Pereira	(Decimal('-1.861370'), Decimal('99.561732'))	joao-lucasalbuquerque@uol.com.br	184
AB-	610	Polizzi-Corcos Group	2022-01-01	"Viale Sandra, 581 Appartamento 4
01036, Nepi (VT)"	Engineer, electrical	MDRLPN54T41L361L	malacarneramona		Gloria Baracca	(Decimal('-49.5761595'), Decimal('164.734357'))	cecigiustino@poste.it	515
O+	307	Hentschel Aumann GmbH & Co. OHG	06/19/2025, 00:00:00	"Louis-Schwital-Ring 4/2
98335 Wolfenbüttel"	Forstwirt	831-80-2833	ukramer		Valentin Wilmsen-Faust	(Decimal('58.190791'), Decimal('-98.848169'))	kevin48@gmail.com	743
